id	num	neg.score	neg.p.value	neg.fdr	neg.rank	neg.goodsgrna	neg.lfc	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc
ABCG1	6	0.93652	0.74611	0.823127	18679	0	0.18608	0.052267	0.31907	1	2902	4	0.18608
ABCG2	6	0.52703	0.28593	0.471258	12424	2	-0.014727	0.91195	0.98254	1	18148	0	-0.014727
ABCG4	6	0.0058941	0.00030936	0.006314	1006	5	-0.25765	0.30819	0.73329	1	9309	1	-0.25765
ABCG5	6	0.88615	0.62352	0.73801	17460	1	0.17962	0.11066	0.46708	1	4753	3	0.17962
ABCG8	6	0.0037358	0.00017867	0.00441	821	3	-0.47857	0.80502	0.9424	1	16071	1	-0.47857
ABHD1	6	0.023494	0.0024718	0.027541	1845	3	-0.22593	0.43302	0.80456	1	11200	1	-0.22593
ABHD10	6	0.84572	0.5546	0.689506	16614	1	-0.018717	0.16637	0.56502	1	6248	2	-0.018717
ABHD11	6	0.68942	0.40081	0.569563	14467	1	0.058207	0.42154	0.79674	1	11019	2	0.058207
ABHD12	6	0.96049	0.80754	0.861588	19317	0	0.18459	0.02489	0.1863	1	1635	4	0.18459
ABHD12B	6	0.17237	0.055917	0.187495	6021	3	-0.038055	0.015204	0.13641	1	1169	3	-0.038055
ABHD13	5	0.46235	0.24175	0.425315	11397	2	-0.18144	0.055234	0.28372	1	3042	1	-0.18144
ABHD14A	6	0.58662	0.34218	0.519232	13461	2	-0.063526	0.60036	0.89188	1	13691	1	-0.063526
ABHD14B	6	0.48567	0.24685	0.428586	11763	2	0.0098511	0.18782	0.59443	1	6837	1	0.0098511
ABHD15	6	0.35067	0.16186	0.342425	9620	2	-0.019104	0.40122	0.78205	1	10720	2	-0.019104
ABHD16A	6	0.26483	0.1116	0.277636	8247	2	-0.064397	0.45778	0.82258	1	11646	1	-0.064397
ABHD16B	6	0.488	0.24685	0.428586	11796	2	-0.024634	0.16617	0.56502	1	6242	2	-0.024634
ABHD17A	6	0.027439	0.0034483	0.035333	1996	4	-0.34653	0.16816	0.56726	1	6304	2	-0.34653
ABHD17B	6	0.55726	0.31838	0.503637	12937	1	0.13254	0.29174	0.71986	1	9033	2	0.13254
ABHD17C	6	0.78609	0.49895	0.654821	15624	1	0.024568	0.47125	0.83061	1	11871	2	0.024568
ABHD2	6	0.26007	0.10944	0.274691	8134	3	-0.10473	0.84574	0.95719	1	16761	1	-0.10473
ABHD3	6	0.30566	0.1342	0.310179	8899	1	0.12302	0.076366	0.39164	1	3800	3	0.12302
ABHD4	6	0.24986	0.10401	0.271273	7861	3	-0.12138	0.71676	0.91938	1	14894	1	-0.12138
ABHD5	6	0.98634	0.92334	0.94667	20038	0	0.19688	0.038236	0.25267	1	2266	4	0.19688
ABHD6	6	0.54783	0.31124	0.494851	12767	2	-0.035688	0.68148	0.9111	1	14516	1	-0.035688
ABHD8	6	0.31288	0.13701	0.312824	9027	2	0.079828	0.0040295	0.054189	1	460	3	0.079828
ABI1	6	0.7067	0.41666	0.584921	14651	1	-0.054954	0.89176	0.97655	1	17725	0	-0.054954
ABI2	6	0.68201	0.39555	0.564739	14392	1	-0.071039	0.85177	0.95994	1	16876	1	-0.071039
ABI3	6	0.50703	0.26341	0.444663	12103	2	0.0036022	0.92557	0.98709	1	18453	0	0.0036022
ABI3BP	6	0.38486	0.17504	0.353506	10169	1	0.0058986	0.55989	0.88534	1	13321	2	0.0058986
ABL1	6	0.4842	0.24546	0.428586	11730	2	-0.054397	0.73583	0.92345	1	15139	1	-0.054397
ABL2	6	0.84233	0.55198	0.689224	16549	1	0.0094976	0.90579	0.98038	1	18039	0	0.0094976
ABLIM1	6	0.022021	0.0021901	0.02507	1780	4	-0.24809	0.54438	0.87827	1	13081	2	-0.24809
ABLIM2	6	0.84704	0.5546	0.689506	16640	1	0.072651	0.81093	0.9452	1	16166	1	0.072651
ABLIM3	6	0.17364	0.055918	0.187495	6057	2	-0.019601	0.73746	0.92345	1	15156	1	-0.019601
ABO	6	0.12531	0.035029	0.146322	4929	2	0.0076861	0.24673	0.6869	1	8326	2	0.0076861
ABR	6	0.49206	0.25145	0.433206	11867	2	0.028005	0.14487	0.52745	1	5670	3	0.028005
ABRA	6	0.24278	0.10277	0.27011	7675	3	-0.14492	0.91347	0.98294	1	18194	0	-0.14492
ABRACL	6	0.9778	0.89045	0.925755	19779	0	0.37084	0.018761	0.15846	1	1345	4	0.37084
ABT1	6	0.0014369	4.03E-01	0.001413	585	4	-0.50431	0.87243	0.96708	1	17315	1	-0.50431
ABTB1	6	0.20307	0.076193	0.232265	6745	3	-0.065409	0.044653	0.2899	1	2571	1	-0.065409
ABTB2	6	0.12065	0.033907	0.144821	4809	3	-0.097466	0.64983	0.90249	1	14157	1	-0.097466
ACAA1	6	0.11927	0.033907	0.144821	4772	3	-0.16975	0.39222	0.7751	1	10576	1	-0.16975
ACAA2	6	0.47317	0.23944	0.423869	11566	2	0.13183	0.10998	0.46565	1	4732	3	0.13183
ACACA	6	0.016462	0.0015801	0.020695	1576	2	-0.030162	0.59493	0.89188	1	13646	1	-0.030162
ACACB	6	0.55571	0.31683	0.501604	12913	1	0.35557	0.00055769	0.013231	1	154	4	0.35557
ACAD10	6	0.51664	0.2663	0.446169	12252	2	0.028098	0.82125	0.94692	1	16336	1	0.028098
ACAD11	6	0.17693	0.056771	0.187495	6134	3	-0.15834	0.41316	0.78901	1	10897	1	-0.15834
ACAD8	6	0.32266	0.13999	0.315631	9174	2	-0.1501	0.65392	0.90352	1	14215	1	-0.1501
ACAD9	6	0.18993	0.063271	0.202372	6459	3	-0.13356	0.94903	0.99273	1	18974	0	-0.13356
ACADL	6	0.95584	0.78859	0.847445	19190	0	-0.019373	0.45813	0.82258	1	11651	2	-0.019373
ACADM	6	0.4932	0.25145	0.433206	11887	2	0.1345	0.51586	0.86003	1	12587	2	0.1345
ACADS	6	0.07464	0.013004	0.072989	3727	2	-0.084833	0.8781	0.97013	1	17439	0	-0.084833
ACADSB	6	0.053255	0.0072793	0.050661	2970	4	-0.22949	0.85375	0.96028	1	16910	1	-0.22949
ACADVL	6	0.047383	0.0062468	0.046472	2751	3	-0.12834	0.15545	0.54838	1	5942	3	-0.12834
ACAN	6	0.14955	0.047684	0.177872	5513	3	-0.32022	0.70383	0.91699	1	14739	1	-0.32022
ACAP1	6	0.52035	0.27234	0.453854	12315	1	0.22364	0.014525	0.13403	1	1136	4	0.22364
ACAP2	6	0.2706	0.11702	0.287484	8333	2	-0.090395	0.59827	0.89188	1	13674	1	-0.090395
ACAP3	6	0.81436	0.52284	0.670949	16051	1	-0.042949	0.47911	0.83642	1	12003	1	-0.042949
ACAT1	6	0.24908	0.10336	0.27011	7839	3	-0.089909	0.4511	0.82004	1	11528	1	-0.089909
ACAT2	6	0.13185	0.037075	0.150406	5082	2	0.10667	0.23435	0.67504	1	8064	3	0.10667
ACBD3	6	0.0099564	0.0007998	0.012649	1295	5	-0.32453	0.99849	0.99997	1	20340	0	-0.32453
ACBD4	6	0.049529	0.0065988	0.047775	2834	3	-0.2791	0.25452	0.69621	1	8435	2	-0.2791
ACBD5	6	0.98934	0.93343	0.952734	20138	0	0.18225	0.06647	0.37651	1	3512	3	0.18225
ACBD6	6	0.063411	0.0098168	0.061429	3326	4	-0.27553	0.82636	0.94867	1	16407	1	-0.27553
ACBD7	6	0.77061	0.48039	0.641655	15405	1	-0.070573	0.29503	0.72152	1	9093	2	-0.070573
ACCS	6	0.13525	0.03861	0.154193	5154	2	-0.068671	0.43756	0.80891	1	11284	2	-0.068671
ACCSL	6	0.93652	0.74611	0.823127	18681	0	-0.06754	0.45331	0.82192	1	11574	1	-0.06754
ACD	6	0.0033266	0.00015601	0.004065	787	5	-0.35451	0.29231	0.71986	1	9046	1	-0.35451
ACE	6	0.57432	0.3319	0.513589	13241	2	-0.035979	0.93135	0.98892	1	18566	0	-0.035979
ACE2	6	0.71573	0.42989	0.59806	14744	1	0.049664	0.77444	0.93102	1	15632	1	0.049664
ACER1	6	0.13994	0.043457	0.168751	5272	1	0.015175	0.36819	0.76475	1	10194	2	0.015175
ACER2	6	0.91885	0.70098	0.792453	18243	0	0.23297	0.010867	0.11807	1	934	3	0.23297
ACER3	6	0.87718	0.61033	0.730269	17240	1	0.0038912	0.090851	0.41868	1	4218	2	0.0038912
ACHE	6	0.29395	0.12671	0.298336	8705	1	0.34352	0.0010441	0.020388	1	212	4	0.34352
ACIN1	6	0.6	0.3508	0.522862	13647	1	0.069352	0.015356	0.13724	1	1176	2	0.069352
ACKR2	4	0.93693	0.80238	0.85903	18694	0	0.054388	0.75333	0.90336	1	15366	0	0.054388
ACKR3	5	0.017128	0.0020787	0.025031	1591	3	-0.27735	0.76043	0.91169	1	15454	1	-0.27735
ACKR4	6	0.98876	0.93276	0.952196	20123	0	0.20517	0.019646	0.15972	1	1392	4	0.20517
ACLY	6	0.4844	0.24546	0.428586	11735	1	0.13008	0.22334	0.65353	1	7776	3	0.13008
ACMSD	6	0.98069	0.8997	0.931274	19861	0	0.27061	0.0029189	0.039884	1	371	5	0.27061
ACN9	6	0.61375	0.35343	0.522862	13764	1	0.25264	0.040574	0.26095	1	2376	4	0.25264
ACO1	6	0.83096	0.53878	0.681646	16320	1	0.19286	0.0066349	0.083309	1	646	3	0.19286
ACO2	6	7.18E-02	2.41E-03	3.2e-05	98	5	-0.7766	0.95856	0.99452	1	19203	0	-0.7766
ACOT1	6	0.50983	0.26341	0.444663	12150	2	0.34242	0.00064439	0.014735	1	165	4	0.34242
ACOT11	6	0.89989	0.65673	0.762761	17782	0	-0.014692	0.129	0.50626	1	5246	2	-0.014692
ACOT12	6	0.39335	0.1845	0.367907	10310	1	-0.0132	0.84423	0.9562	1	16733	1	-0.0132
ACOT13	6	0.88786	0.62621	0.739403	17503	1	0.27548	0.0083122	0.099069	1	772	4	0.27548
ACOT2	6	0.777	0.48572	0.645081	15497	1	0.029296	0.093351	0.42463	1	4283	2	0.029296
ACOT4	6	0.35064	0.16186	0.342425	9617	1	-0.049109	0.91311	0.98284	1	18179	0	-0.049109
ACOT6	6	0.50101	0.2588	0.441798	12000	2	0.059223	0.22778	0.66452	1	7891	3	0.059223
ACOT7	6	0.039142	0.0053242	0.044022	2445	2	-0.01711	0.84077	0.95449	1	16658	1	-0.01711
ACOT8	6	0.78417	0.49499	0.654215	15597	1	0.030009	0.056316	0.33212	1	3092	1	0.030009
ACOT9	6	0.99559	0.96463	0.974696	20328	0	0.26336	0.0022946	0.034318	1	310	4	0.26336
ACOX1	6	0.033753	0.0041847	0.038562	2261	1	0.089349	0.37007	0.76541	1	10219	2	0.089349
ACOX2	6	0.33769	0.15177	0.332836	9410	2	0.077081	0.48503	0.83888	1	12105	2	0.077081
ACOX3	6	0.96288	0.82221	0.874387	19377	0	0.20187	0.054584	0.32779	1	3006	4	0.20187
ACOXL	6	0.88013	0.61301	0.7319	17318	1	-0.015118	0.49343	0.84309	1	12225	1	-0.015118
ACP1	6	0.85502	0.57854	0.711051	16796	1	0.022005	0.84355	0.9562	1	16720	1	0.022005
ACP2	6	0.085084	0.021596	0.112536	3971	2	-0.1239	0.080109	0.39735	1	3902	2	-0.1239
ACP5	5	0.72432	0.4347	0.603234	14853	1	0.081448	0.30757	0.67731	1	9299	2	0.081448
ACP6	6	0.33564	0.14638	0.323082	9376	2	0.10909	0.1286	0.50625	1	5232	3	0.10909
ACPL2	6	0.1555	0.048898	0.17876	5652	2	-0.019211	0.13763	0.51673	1	5477	2	-0.019211
ACPP	6	0.58462	0.34217	0.519232	13428	2	0.059976	0.66012	0.90591	1	14273	1	0.059976
ACPT	6	0.53699	0.29778	0.484333	12588	2	-0.10221	0.84127	0.95449	1	16665	1	-0.10221
ACR	6	0.10639	0.02681	0.124616	4469	3	-0.19496	0.96074	0.99482	1	19250	0	-0.19496
ACRBP	6	0.053357	0.0072793	0.050661	2975	2	0.034629	0.11775	0.48329	1	4952	3	0.034629
ACRC	5	0.63019	0.34647	0.522862	13915	1	0.071325	0.65077	0.87148	1	14176	1	0.071325
ACRV1	6	0.04628	0.0061677	0.046472	2714	2	0.041259	0.90412	0.97993	1	17998	0	0.041259
ACSBG1	6	0.056453	0.0080513	0.054183	3078	4	-0.18127	0.893	0.97655	1	17749	0	-0.18127
ACSBG2	6	0.76777	0.47779	0.639564	15361	1	0.13804	0.077969	0.39532	1	3837	2	0.13804
ACSF2	6	0.020534	0.0021192	0.02507	1729	4	-0.2653	0.64767	0.9018	1	14127	1	-0.2653
ACSF3	6	0.54854	0.31124	0.494851	12780	1	0.15803	0.040109	0.26054	1	2355	3	0.15803
ACSL1	6	0.14024	0.043457	0.168751	5278	3	-0.056134	0.55504	0.88322	1	13243	2	-0.056134
ACSL3	6	0.73623	0.46183	0.632667	14988	1	0.10932	0.45813	0.82258	1	11649	2	0.10932
ACSL4	6	0.13536	0.03861	0.154193	5156	3	-0.11136	0.91064	0.98212	1	18124	0	-0.11136
ACSL5	6	0.23845	0.096592	0.261214	7581	2	0.07836	0.13551	0.51368	1	5419	3	0.07836
ACSL6	6	0.58574	0.34217	0.519232	13447	2	-0.071754	0.12277	0.49566	1	5076	2	-0.071754
ACSM1	6	0.022057	0.0021901	0.02507	1781	2	-0.091681	0.032012	0.22224	1	1988	1	-0.091681
ACSM2A	6	0.29897	0.1342	0.310179	8792	2	-0.048445	0.89325	0.97678	1	17753	0	-0.048445
ACSM2B	6	0.21695	0.081399	0.235779	7066	2	0.055675	0.77108	0.93002	1	15583	1	0.055675
ACSM3	6	0.34032	0.1558	0.339533	9455	1	0.15454	0.38728	0.77192	1	10505	2	0.15454
ACSM4	6	0.55363	0.31124	0.494851	12881	2	0.0057442	0.78409	0.93426	1	15763	1	0.0057442
ACSM5	6	0.41689	0.20571	0.393747	10674	2	0.013955	0.099988	0.44452	1	4466	2	0.013955
ACSS1	6	0.022422	0.0021906	0.02507	1799	4	-0.3087	0.48676	0.84017	1	12138	2	-0.3087
ACSS2	6	0.50539	0.26341	0.444663	12077	2	-0.027908	0.31825	0.73647	1	9457	1	-0.027908
ACSS3	6	0.21619	0.081399	0.235779	7046	1	0.048526	0.20703	0.63054	1	7345	3	0.048526
ACTA1	6	0.41976	0.20571	0.393747	10726	2	0.067581	0.84876	0.95788	1	16818	1	0.067581
ACTA2	6	0.21406	0.081399	0.235779	6996	2	0.10799	0.84645	0.95755	1	16774	1	0.10799
ACTB	6	0.9886	0.93213	0.952168	20120	0	0.10911	0.14045	0.51968	1	5553	2	0.10911
ACTBL2	6	0.26234	0.11019	0.275936	8185	3	-0.090929	0.32227	0.73785	1	9520	2	-0.090929
ACTC1	6	0.55237	0.31124	0.494851	12850	2	0.083982	0.08058	0.39937	1	3910	2	0.083982
ACTG1	6	0.0063839	0.00034505	0.006753	1040	4	-0.42623	0.58833	0.89119	1	13585	1	-0.42623
ACTG2	6	0.10615	0.02681	0.124616	4464	3	-0.069941	0.53782	0.87209	1	12966	2	-0.069941
ACTL10	6	0.39146	0.1845	0.367907	10282	2	-0.041309	0.78547	0.9346	1	15781	1	-0.041309
ACTL6A	6	0.00014872	3.13E-02	0.000227	278	3	-0.61632	0.97906	0.99784	1	19689	0	-0.61632
ACTL6B	6	0.047738	0.0062473	0.046472	2768	4	-0.21052	0.6826	0.91146	1	14524	1	-0.21052
ACTL7A	6	0.13922	0.043457	0.168751	5253	3	-0.10062	0.15293	0.54482	1	5881	2	-0.10062
ACTL7B	6	0.81976	0.52548	0.673028	16141	1	0.18386	0.01726	0.15126	1	1273	3	0.18386
ACTL8	6	0.20445	0.076656	0.232265	6774	1	-0.013078	0.55086	0.88179	1	13187	1	-0.013078
ACTL9	6	0.54783	0.31124	0.494851	12765	2	0.014849	0.56168	0.88743	1	13354	1	0.014849
ACTN1	6	0.92507	0.7201	0.806527	18408	0	0.097865	0.18315	0.58839	1	6716	2	0.097865
ACTN2	6	0.32796	0.1431	0.319597	9258	2	-0.038626	0.24434	0.68411	1	8288	1	-0.038626
ACTN4	6	0.18582	0.057661	0.187614	6358	3	-0.18545	0.96041	0.99482	1	19243	0	-0.18545
ACTR10	6	0.0033686	0.00015938	0.004137	791	4	-0.91728	0.9939	0.99974	1	20144	0	-0.91728
ACTR1A	6	0.00016224	3.62E-02	0.000253	285	6	-0.37112	0.99928	0.99999	1	20406	0	-0.37112
ACTR1B	6	0.18006	0.056771	0.187495	6221	3	-0.31054	0.043634	0.28133	1	2524	1	-0.31054
ACTR2	6	0.0024431	8.85E-01	0.002641	693	4	-0.40805	0.99786	0.99994	1	20308	0	-0.40805
ACTR3	6	0.033343	0.0041842	0.038562	2246	4	-0.24462	0.94206	0.99155	1	18790	0	-0.24462
ACTR3B	6	0.0012732	3.40E-01	0.001235	562	3	-0.23218	0.56012	0.88534	1	13327	1	-0.23218
ACTR3C	6	0.0022821	7.26E-01	0.002221	672	2	0.013925	0.33682	0.74748	1	9724	2	0.013925
ACTR5	6	0.047964	0.0062473	0.046472	2781	4	-0.28585	0.91851	0.98466	1	18310	0	-0.28585
ACTR6	6	0.00010537	1.69E-02	0.000131	249	4	-0.37317	0.58284	0.89084	1	13547	1	-0.37317
ACTR8	6	0.00021233	4.58E-02	0.000295	313	5	-0.57088	0.95611	0.99404	1	19147	0	-0.57088
ACTRT1	6	0.70555	0.41397	0.581906	14635	1	0.0953	0.16049	0.56302	1	6076	3	0.0953
ACTRT2	6	0.074609	0.013004	0.072989	3725	4	-0.15363	0.5471	0.88035	1	13124	2	-0.15363
ACTRT3	6	0.3908	0.1845	0.367907	10273	2	0.053406	0.90319	0.97971	1	17975	0	0.053406
ACVR1	6	0.95887	0.80754	0.861588	19271	0	0.16182	0.12869	0.50625	1	5238	3	0.16182
ACVR1B	6	0.41642	0.20571	0.393747	10665	1	0.10029	0.13108	0.50845	1	5310	3	0.10029
ACVR1C	6	0.2952	0.12671	0.298336	8731	1	-0.0094897	0.26456	0.70435	1	8591	2	-0.0094897
ACVR2A	6	0.98577	0.92046	0.945089	20016	0	0.23857	0.014392	0.13364	1	1126	4	0.23857
ACVR2B	6	0.24657	0.10335	0.27011	7773	3	-0.010841	0.077024	0.39268	1	3816	2	-0.010841
ACVRL1	6	0.84065	0.54932	0.687435	16509	1	-0.018413	0.18148	0.58744	1	6670	1	-0.018413
ACY1	6	0.92014	0.7032	0.793313	18278	0	0.23961	0.047879	0.3041	1	2703	4	0.23961
ACY3	6	0.18871	0.062856	0.201988	6429	2	0.0062745	0.5512	0.88179	1	13193	2	0.0062745
ACYP1	5	0.96529	0.86035	0.90449	19441	0	0.11583	0.23692	0.62295	1	8137	2	0.11583
ACYP2	6	0.88187	0.61568	0.733331	17363	1	0.1487	0.066635	0.37716	1	3517	3	0.1487
ADA	6	0.56138	0.32869	0.512245	13006	2	-0.1474	0.91351	0.98294	1	18195	0	-0.1474
ADAD1	6	0.22481	0.087951	0.249341	7251	3	-0.20221	0.65282	0.90318	1	14200	1	-0.20221
ADAD2	6	0.17898	0.056771	0.187495	6190	3	-0.16268	0.66752	0.909	1	14334	1	-0.16268
ADAL	6	0.93751	0.7499	0.825472	18712	0	0.06662	0.22448	0.65889	1	7811	2	0.06662
ADAM10	6	0.0033316	0.00015601	0.004065	788	4	-0.28617	0.10183	0.45176	1	4523	1	-0.28617
ADAM11	6	0.077246	0.019268	0.10482	3785	3	-0.31152	0.51869	0.8615	1	12634	1	-0.31152
ADAM12	6	0.4463	0.2196	0.404427	11134	2	-0.041858	0.93457	0.98984	1	18634	0	-0.041858
ADAM15	6	0.36151	0.16543	0.342425	9803	1	0.22336	0.18725	0.59378	1	6824	3	0.22336
