id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna
Tmem117	4	0.00032906	0.0012494	0.747112	29	4	0.9417	0.94163	1	19364	0
Ccnt2	4	0.00034099	0.0012898	0.747112	30	4	0.99966	0.99965	1	20642	0
Cldn14	4	0.00034372	0.0013011	0.747112	31	3	0.67085	0.67078	1	13665	0
Slc16a4	4	0.00034372	0.0013011	0.747112	32	3	0.69015	0.69001	1	14061	0
Pik3c3	4	0.00037466	0.0014232	0.784653	33	3	0.93139	0.9314	1	19128	0
Myh2	4	0.00037968	0.0014424	0.784653	34	2	0.3675	0.36701	1	7462	0
Ctsw	4	0.00039316	0.0014874	0.788398	35	2	0.041832	0.074066	0.972836	1528	2
C1qa	4	0.00041846	0.0015722	0.793407	36	4	0.99551	0.99547	1	20536	0
3110079O15Rik	4	0.00042027	0.0015736	0.793407	37	4	0.99958	0.99957	1	20641	0
Foxa3	4	0.0004303	0.0016134	0.794083	38	2	0.78661	0.78645	1	16053	0
Mapk1ip1l	4	0.00044767	0.0016809	0.808082	39	4	0.99955	0.99954	1	20640	0
SGR000121930.1_XPR003.1	1	0.00046201	0.00046387	0.656853	40	1	0.99954	0.99956	1	20639	0
Gjd2	4	0.00047012	0.0017685	0.811774	41	4	0.99941	0.99941	1	20637	0
Htr2a	4	0.00047681	0.0017915	0.811774	42	3	0.27032	0.27088	1	5549	1
Slco1b2	4	0.00048091	0.0018064	0.811774	43	2	0.79961	0.79947	1	16347	0
Fam20b	4	0.00051988	0.0019443	0.839058	44	3	0.35732	0.35678	1	7265	0
Tob2	4	0.00053153	0.0019889	0.839058	45	3	0.24177	0.244	1	4998	1
Mpz	4	0.00055539	0.0020717	0.851776	46	4	0.98956	0.98952	1	20412	0
SGR000121538.1_XPR003.1	1	0.00055695	0.00056253	0.656853	47	1	0.99944	0.99948	1	20638	0
Sohlh1	4	0.00058214	0.0021824	0.85954	48	2	0.16447	0.17505	0.999613	3608	1
Zfp90	4	0.00060839	0.0022719	0.85954	49	4	0.99939	0.9994	1	20636	0
Gm3696	2	0.00061834	0.001201	0.747112	50	2	0.99938	0.99938	1	20635	0
Gm21975	4	0.00063275	0.0023586	0.85954	51	3	0.80479	0.80464	1	16462	0
Rltpr	4	0.00064601	0.0024008	0.85954	52	3	0.27542	0.27574	1	5647	1
Cstf2	4	0.00067162	0.0024894	0.85954	53	4	0.99933	0.99933	1	20634	0
A630073D07Rik	4	0.00068335	0.0025363	0.85954	54	4	0.97914	0.97919	1	20168	0
Bend7	4	0.00070802	0.0026307	0.85954	55	4	0.99928	0.99928	1	20633	0
Cdkn2c	4	0.0007202	0.0026685	0.85954	56	4	0.99928	0.99928	1	20632	0
Dync1li2	4	0.00073396	0.0027221	0.85954	57	2	0.38671	0.38621	1	7843	0
Tbrg4	4	0.00073604	0.0027284	0.85954	58	2	0.72669	0.72658	1	14835	0
Rara	4	0.00073842	0.0027351	0.85954	59	3	0.32483	0.32426	1	6620	0
Ell2	4	0.00078456	0.0028898	0.85954	60	3	0.42429	0.42393	1	8631	0
Cdh24	4	0.00079962	0.0029396	0.85954	61	4	0.99843	0.99841	1	20612	0
Nrsn1	4	0.00081498	0.0029923	0.85954	62	2	0.4464	0.44612	1	9077	0
Tnfsfm13	4	0.00082104	0.0030119	0.85954	63	4	0.99918	0.99918	1	20631	0
Myo19	4	0.00083516	0.0030689	0.85954	64	2	0.62502	0.62495	1	12732	0
Cog2	4	0.0008484	0.0031216	0.85954	65	4	0.95935	0.95926	1	19724	0
9130019O22Rik	4	0.00086001	0.0031599	0.85954	66	3	0.70862	0.70845	1	14447	0
Brdt	4	0.00088576	0.003261	0.85954	67	2	0.92679	0.92686	1	19050	0
Vmn1r76	4	0.00090348	0.0033084	0.85954	68	3	0.2112	0.21615	1	4433	1
Prlh	4	0.00090348	0.0033084	0.85954	69	3	0.12191	0.13916	0.994814	2866	1
SGR000121415.1_XPR003.1	1	0.00091137	0.00091361	0.747112	70	1	0.99909	0.99911	1	20630	0
1810046K07Rik	4	0.00092887	0.003397	0.85954	71	4	0.99907	0.99908	1	20629	0
1700010I14Rik	4	0.00093636	0.0034233	0.85954	72	2	0.73552	0.73533	1	15005	0
Sult4a1	4	0.00095342	0.0034846	0.85954	73	3	0.11676	0.13481	0.994266	2779	1
Etnppl	4	0.00096802	0.0035426	0.85954	74	3	0.98633	0.98626	1	20340	0
Rnf126	4	0.00098686	0.0036087	0.85954	75	3	0.85223	0.85198	1	17460	0
Rgl3	4	0.00098686	0.0036087	0.85954	76	2	0.17386	0.18317	1	3770	1
Klrk1	4	0.00098695	0.0036092	0.85954	77	2	0.10013	0.12127	0.993488	2495	1
Spidr	4	0.00098859	0.003613	0.85954	78	4	0.99901	0.99901	1	20628	0
Ahnak	4	0.0010061	0.0036738	0.85954	79	3	0.64956	0.64946	1	13236	0
Ube2t	4	0.0010375	0.003783	0.85954	80	3	0.78661	0.78645	1	16079	0
Syt12	4	0.001053	0.0038453	0.85954	81	3	0.7912	0.79105	1	16163	0
Calhm1	4	0.001053	0.0038453	0.85954	82	3	0.83711	0.83699	1	17147	0
Atp11c	4	0.0010545	0.003852	0.85954	83	4	0.99895	0.99895	1	20627	0
Slitrk5	4	0.0010609	0.0038764	0.85954	84	3	0.3967	0.39634	1	8062	0
Sell	4	0.001102	0.0040307	0.85954	85	3	0.87339	0.87323	1	17904	0
Pnma2	4	0.0011134	0.0040699	0.85954	86	3	0.91024	0.91014	1	18700	0
Vmn2r7	4	0.0011134	0.0040699	0.85954	87	3	0.77117	0.77102	1	15754	0
Ccdc79	4	0.0011151	0.0040757	0.85954	88	4	0.95027	0.95017	1	19546	0
Clcn1	4	0.0011293	0.0041212	0.85954	89	4	0.99887	0.99886	1	20623	0
Mmp14	4	0.0011293	0.0041212	0.85954	90	4	0.99887	0.99886	1	20625	0
Nkx2-4	4	0.0011293	0.0041212	0.85954	91	4	0.99887	0.99886	1	20624	0
Rhbg	4	0.0011293	0.0041212	0.85954	92	4	0.99887	0.99886	1	20626	0
Isca2	4	0.0011387	0.0041605	0.85954	93	4	0.99006	0.99001	1	20414	0
Zfp536	4	0.001177	0.004295	0.85954	94	3	0.5697	0.5692	1	11545	0
Chid1	4	0.0011785	0.0043037	0.85954	95	3	0.57182	0.57133	1	11592	0
Znrf3	4	0.0011893	0.0043415	0.85954	96	2	0.61018	0.60998	1	12418	0
Ogg1	4	0.0012074	0.0044086	0.85954	97	4	0.99879	0.99878	1	20621	0
Gnl1	4	0.0012074	0.0044086	0.85954	98	4	0.99879	0.99878	1	20622	0
Lpar6	4	0.0012233	0.0044608	0.85954	99	3	0.51343	0.51291	1	10414	0
Usp31	4	0.0012399	0.0045173	0.85954	100	3	0.81439	0.81424	1	16654	0
Slc1a2	4	0.0012836	0.0046653	0.85954	101	4	0.99872	0.99871	1	20620	0
Uox	4	0.0013253	0.0048147	0.85954	102	4	0.96096	0.96084	1	19765	0
L3mbtl2	4	0.0013253	0.0048147	0.85954	103	2	0.39286	0.39244	1	7975	0
Ash1l	4	0.0013253	0.0048147	0.85954	104	4	0.98438	0.98432	1	20302	0
Ptpn20	4	0.0013253	0.0048147	0.85954	105	2	0.83711	0.83699	1	17152	0
Rlf	4	0.0013411	0.0048626	0.85954	106	3	0.52374	0.52335	1	10609	0
Coa7	4	0.0013594	0.0049277	0.85954	107	4	0.99864	0.99862	1	20619	0
Vmn1r56	4	0.0013594	0.0049277	0.85954	108	4	0.99864	0.99862	1	20618	0
BC030336	4	0.0013629	0.0049416	0.85954	109	3	0.99864	0.99861	1	20617	0
Vmn2r114	4	0.0013846	0.0050226	0.85954	110	3	0.46785	0.46749	1	9501	0
Naa35	4	0.0013854	0.0050245	0.85954	111	2	0.42625	0.4259	1	8673	0
Bsph2	4	0.0013916	0.005046	0.85954	112	3	0.92452	0.92458	1	18960	0
Cdk15	4	0.001421	0.00515	0.85954	113	2	0.8553	0.85508	1	17488	0
Pdk1	4	0.0014379	0.005206	0.85954	114	4	0.99856	0.99855	1	20615	0
Ssr4	4	0.0014379	0.005206	0.85954	115	4	0.99856	0.99855	1	20614	0
Asap3	4	0.0014379	0.005206	0.85954	116	4	0.99856	0.99855	1	20616	0
Mtrf1	4	0.0014422	0.0052185	0.85954	117	4	0.98839	0.98838	1	20387	0
Ndufaf2	4	0.0014487	0.0052391	0.85954	118	4	0.94378	0.94373	1	19418	0
Krt6b	4	0.0014928	0.0053914	0.866039	119	3	0.076796	0.10247	0.986944	2108	1
Clca3b	4	0.001526	0.0055221	0.866039	120	4	0.99847	0.99845	1	20613	0
Cyp2a5	4	0.0015277	0.005525	0.866039	121	4	0.98473	0.98467	1	20304	0
Hck	4	0.0015277	0.005525	0.866039	122	4	0.94936	0.94926	1	19516	0
2610020H08Rik	4	0.0015329	0.0055408	0.866039	123	4	0.99369	0.9937	1	20496	0
Cited1	4	0.0015434	0.0055719	0.866039	124	3	0.86168	0.86141	1	17662	0
Abcb9	4	0.001621	0.0058497	0.882221	125	4	0.99838	0.99837	1	20611	0
Eras	4	0.001621	0.0058497	0.882221	126	4	0.99838	0.99837	1	20609	0
Eid2	4	0.001621	0.0058497	0.882221	127	4	0.99838	0.99837	1	20610	0
Grb14	4	0.0016445	0.0059321	0.882221	128	2	0.49965	0.49922	1	10130	0
Hmox1	4	0.0016445	0.0059321	0.882221	129	3	0.90471	0.90463	1	18603	0
Mrgprx1	4	0.0016725	0.0060174	0.88626	130	4	0.99833	0.99832	1	20608	0
Rtn1	4	0.0017143	0.0061649	0.88626	131	4	0.96664	0.96655	1	19885	0
Sulf2	4	0.0017143	0.0061649	0.88626	132	3	0.93345	0.93342	1	19192	0
Zfp52	4	0.0017184	0.0061776	0.88626	133	4	0.99828	0.99828	1	20606	0
Gltp	4	0.0017184	0.0061776	0.88626	134	4	0.99828	0.99828	1	20607	0
Lhfpl1	4	0.0017456	0.0062774	0.88626	135	4	0.99806	0.99806	1	20596	0
Olfr1356	4	0.001817	0.0065155	0.88626	136	3	0.89117	0.89109	1	18269	0
Shroom3	4	0.001817	0.0065155	0.88626	137	4	0.99788	0.99787	1	20592	0
Cd180	4	0.0018226	0.0065394	0.88626	138	4	0.99818	0.99817	1	20605	0
Lig3	4	0.0018226	0.0065394	0.88626	139	4	0.99818	0.99817	1	20604	0
D2hgdh	4	0.0018468	0.0066324	0.88626	140	3	0.83383	0.8337	1	17081	0
Ahdc1	4	0.0018989	0.0068177	0.88626	141	2	0.8677	0.86749	1	17762	0
Tubb2a	4	0.0018989	0.0068177	0.88626	142	3	0.3638	0.36331	1	7390	0
Mrpl30	4	0.0018989	0.0068177	0.88626	143	3	0.84922	0.849	1	17410	0
Olfr376	4	0.0019196	0.0068915	0.88626	144	4	0.99564	0.99559	1	20541	0
Cyp2j9	4	0.0019392	0.0069604	0.88626	145	4	0.99806	0.99806	1	20597	0
Mpp7	4	0.0019392	0.0069604	0.88626	146	4	0.99806	0.99806	1	20603	0
Lrrc27	4	0.0019392	0.0069604	0.88626	147	4	0.99806	0.99806	1	20601	0
Zik1	4	0.0019392	0.0069604	0.88626	148	4	0.99806	0.99806	1	20602	0
Araf	4	0.0019392	0.0069604	0.88626	149	4	0.99806	0.99806	1	20600	0
Rimklb	4	0.0019392	0.0069604	0.88626	150	4	0.99806	0.99806	1	20599	0
Tifa	4	0.0019392	0.0069604	0.88626	151	4	0.99806	0.99806	1	20598	0
C77370	4	0.0019479	0.0069882	0.88626	152	2	0.73459	0.73441	1	14995	0
SGR000121972.1_XPR003.1	1	0.0019873	0.0019601	0.839058	153	1	0.99801	0.99803	1	20595	0
Ush1c	4	0.0019882	0.0071362	0.895352	154	4	0.97184	0.97183	1	20009	0
Actrt3	4	0.0019984	0.0071726	0.895352	155	3	0.53948	0.53898	1	10913	0
Snap25	4	0.0020384	0.0073216	0.895352	156	3	0.87045	0.87025	1	17865	0
Sco2	4	0.002049	0.0073647	0.895352	157	4	0.96801	0.96793	1	19934	0
Qrich2	4	0.0020574	0.0073982	0.895352	158	4	0.99794	0.99794	1	20594	0
Olfr689	4	0.0020823	0.0074811	0.895352	159	3	0.85867	0.85839	1	17591	0
Nefm	4	0.0020823	0.0074811	0.895352	160	3	0.66443	0.6643	1	13544	0
4930590J08Rik	4	0.0020823	0.0074811	0.895352	161	3	0.37055	0.37007	1	7523	0
Nck2	4	0.0020996	0.0075539	0.895352	162	3	0.90199	0.90196	1	18539	0
SGR000122313.1_XPR003.1	1	0.0021202	0.0021014	0.851776	163	1	0.99788	0.99791	1	20593	0
Pdzd2	4	0.0021501	0.0077325	0.895352	164	1	0.69402	0.69393	1	14143	0
Oxsr1	4	0.0021842	0.0078546	0.895352	165	4	0.99782	0.99782	1	20590	0
Pepd	4	0.0021842	0.0078546	0.895352	166	4	0.99782	0.99782	1	20591	0
Slc38a3	4	0.0022259	0.0080094	0.895352	167	3	0.35815	0.35761	1	7284	0
Rnf128	4	0.0022757	0.0081823	0.895352	168	3	0.72819	0.72804	1	14849	0
Ifi30	4	0.0022769	0.0081856	0.895352	169	3	0.89117	0.89109	1	18299	0
Stam	4	0.002327	0.0083681	0.895352	170	2	0.079939	0.10505	0.986944	2165	1
Rhox8	4	0.002327	0.0083681	0.895352	171	3	0.70227	0.70208	1	14303	0
Plac9a	4	0.0023906	0.0085817	0.895352	172	3	0.65678	0.6567	1	13391	0
Nr2e1	4	0.0023906	0.0085817	0.895352	173	3	0.11833	0.1361	0.994266	2805	1
Minos1	4	0.0023969	0.0086042	0.895352	174	4	0.99142	0.99141	1	20449	0
Gm4951	4	0.0023969	0.0086042	0.895352	175	3	0.93037	0.93038	1	19113	0
Pwwp2b	4	0.0023969	0.0086042	0.895352	176	4	0.99708	0.99707	1	20582	0
Tmx1	4	0.0024028	0.0086215	0.895352	177	2	0.012071	0.023834	0.972836	464	1
Ipmk	4	0.0024283	0.008711	0.895352	178	2	0.58179	0.58143	1	11800	0
4933427D14Rik	4	0.0024699	0.0088609	0.895352	179	4	0.99753	0.99751	1	20588	0
Olfr802	4	0.0024699	0.0088609	0.895352	180	4	0.99753	0.99751	1	20589	0
Cyp1a2	4	0.0024699	0.0088609	0.895352	181	4	0.99753	0.99751	1	20587	0
Olfr616	4	0.002492	0.008938	0.895352	182	3	0.92679	0.92686	1	19033	0
Nipa2	4	0.002492	0.008938	0.895352	183	2	0.58218	0.58184	1	11812	0
Pla2g4d	4	0.0025039	0.0089773	0.895352	184	3	0.59276	0.59253	1	12048	0
Cyp4f18	4	0.0025039	0.0089773	0.895352	185	2	0.54926	0.54874	1	11129	0
Zfp110	4	0.0025039	0.0089773	0.895352	186	3	0.38523	0.38474	1	7813	0
Arsg	4	0.0025249	0.0090449	0.895352	187	3	0.65991	0.65982	1	13451	0
Ttc3	4	0.0025249	0.0090449	0.895352	188	3	0.29386	0.2935	1	6018	1
SGR000121889.1_XPR003.1	1	0.0025569	0.0025354	0.85954	189	1	0.99744	0.99746	1	20586	0
Rfx6	4	0.002577	0.0092125	0.895352	190	2	0.78661	0.78645	1	16082	0
Rsad1	4	0.002577	0.0092125	0.895352	191	2	0.61175	0.61156	1	12453	0
Gas1	4	0.002605	0.0093198	0.895352	192	3	0.29654	0.29614	1	6069	1
Arhgap19	4	0.0026149	0.0093519	0.895352	193	4	0.99739	0.99736	1	20585	0
Cdh9	4	0.0026246	0.0093859	0.895352	194	3	0.78958	0.78943	1	16108	0
Olfr1221	4	0.0026758	0.0095401	0.895352	195	3	0.81439	0.81424	1	16670	0
Crtc3	4	0.0026758	0.0095401	0.895352	196	4	0.99204	0.99201	1	20462	0
Clca2	4	0.0026758	0.0095401	0.895352	197	2	0.23761	0.24014	1	4916	1
Gfm1	4	0.0026758	0.0095401	0.895352	198	3	0.91983	0.91983	1	18891	0
Lrrc14	4	0.0026758	0.0095401	0.895352	199	3	0.61907	0.61897	1	12611	0
Olfr1437	4	0.0027313	0.0097192	0.895352	200	2	0.68739	0.68729	1	13997	0
Arhgap39	4	0.0027313	0.0097192	0.895352	201	2	0.35966	0.35915	1	7307	0
Trim43c	4	0.0027592	0.0098232	0.895352	202	4	0.99724	0.99722	1	20583	0
Klhdc7b	4	0.0027592	0.0098232	0.895352	203	4	0.99724	0.99722	1	20584	0
Nuggc	4	0.0027859	0.0099146	0.895352	204	2	0.68082	0.68081	1	13861	0
Med1	4	0.0027859	0.0099146	0.895352	205	3	0.64241	0.64237	1	13092	0
B4galnt2	4	0.0028051	0.0099827	0.895352	206	2	0.71336	0.71314	1	14538	0
Olfr608	4	0.0028084	0.0099918	0.895352	207	4	0.99635	0.99632	1	20564	0
Msmb	4	0.0028084	0.0099918	0.895352	208	4	0.94568	0.94555	1	19472	0
Snai3	4	0.0028084	0.0099918	0.895352	209	4	0.97518	0.97523	1	20091	0
Rhox9	4	0.0028324	0.010072	0.895352	210	3	0.51042	0.50988	1	10359	0
Stk24	4	0.0028324	0.010072	0.895352	211	1	0.038936	0.06929	0.972836	1422	1
Prrc2b	4	0.002895	0.010282	0.895352	212	3	0.74881	0.74866	1	15307	0
Cdc42se1	4	0.0029081	0.010324	0.895352	213	3	0.93345	0.93342	1	19196	0
Dhx40	4	0.0029243	0.010379	0.895352	214	4	0.99708	0.99707	1	20579	0
Cacnb1	4	0.0029243	0.010379	0.895352	215	4	0.99708	0.99707	1	20580	0
Gyk	4	0.0029243	0.010379	0.895352	216	4	0.99708	0.99707	1	20581	0
Olfr1490	4	0.0029595	0.010499	0.895352	217	3	0.93039	0.93041	1	19114	0
Ptprb	4	0.0029839	0.01058	0.895352	218	2	0.42542	0.42507	1	8652	0
Olfr1121	4	0.0029839	0.01058	0.895352	219	3	0.15313	0.16538	0.998265	3406	1
Acaca	4	0.0030127	0.010693	0.895352	220	2	0.086769	0.1105	0.986944	2283	1
Selp	4	0.003085	0.010928	0.895352	221	2	0.22476	0.2284	1	4667	1
Unc5c	4	0.003085	0.010928	0.895352	222	3	0.39535	0.39498	1	8030	0
Moxd1	4	0.0030931	0.010957	0.895352	223	4	0.99691	0.9969	1	20578	0
Col11a2	4	0.0031129	0.011026	0.895352	224	4	0.95776	0.95769	1	19679	0
4833439L19Rik	4	0.0031129	0.011026	0.895352	225	3	0.40592	0.40555	1	8247	0
Prkcdbp	4	0.0031129	0.011026	0.895352	226	3	0.88247	0.88239	1	18087	0
Lce1b	4	0.0031129	0.011026	0.895352	227	3	0.92213	0.92218	1	18932	0
Lcn4	4	0.0031296	0.011083	0.895352	228	3	0.90947	0.90937	1	18666	0
Rnf123	4	0.0031393	0.011119	0.895352	229	2	0.46475	0.46439	1	9448	0
Ube2b	4	0.0031393	0.011119	0.895352	230	2	0.55308	0.55257	1	11214	0
Ccdc152	4	0.0031393	0.011119	0.895352	231	3	0.5014	0.50098	1	10169	0
Egfl6	4	0.0031393	0.011119	0.895352	232	2	0.35417	0.35363	1	7208	0
Erlec1	4	0.0032365	0.011468	0.895352	233	4	0.94568	0.94555	1	19470	0
Ppfia1	4	0.0032365	0.011468	0.895352	234	3	0.86624	0.86605	1	17753	0
Olfr195	4	0.0032365	0.011468	0.895352	235	3	0.42531	0.42495	1	8650	0
Cbr3	4	0.0032697	0.011595	0.895352	236	4	0.99673	0.99672	1	20576	0
Mfsd7a	4	0.0032697	0.011595	0.895352	237	4	0.99673	0.99672	1	20577	0
Rgs19	4	0.0032697	0.011595	0.895352	238	4	0.99673	0.99672	1	20573	0
Ttc9b	4	0.0032697	0.011595	0.895352	239	4	0.99673	0.99672	1	20572	0
Mrgprg	4	0.0032697	0.011595	0.895352	240	4	0.99673	0.99672	1	20574	0
Zfp423	4	0.0032697	0.011595	0.895352	241	4	0.99673	0.99672	1	20575	0
Neb	4	0.0032788	0.011628	0.895352	242	3	0.74985	0.7497	1	15342	0
Olfr168	4	0.0032788	0.011628	0.895352	243	4	0.9851	0.98503	1	20314	0
Ciart	4	0.0032788	0.011628	0.895352	244	4	0.9858	0.98573	1	20324	0
Card6	4	0.0032789	0.011628	0.895352	245	3	0.045065	0.077481	0.972836	1598	1
Cypt2	4	0.0032789	0.011628	0.895352	246	4	0.97414	0.97414	1	20066	0
Cdcp1	4	0.0032789	0.011628	0.895352	247	3	0.87339	0.87323	1	17892	0
Peli3	4	0.0033733	0.011938	0.895352	248	3	0.028227	0.051243	0.972836	1054	1
Stradb	4	0.0034385	0.012157	0.895352	249	2	0.33497	0.33437	1	6819	0
Islr2	4	0.0034385	0.012157	0.895352	250	3	0.88969	0.88961	1	18240	0
Tbc1d22a	4	0.0034385	0.012157	0.895352	251	3	0.84306	0.84286	1	17283	0
Plcxd1	4	0.0034385	0.012157	0.895352	252	3	0.89918	0.8991	1	18454	0
Pde12	4	0.0034593	0.012224	0.895352	253	4	0.99654	0.99653	1	20569	0
Vmn1r35	4	0.0034593	0.012224	0.895352	254	4	0.99654	0.99653	1	20570	0
Clcf1	4	0.0034593	0.012224	0.895352	255	4	0.99654	0.99653	1	20571	0
Tacc2	4	0.0034615	0.012236	0.895352	256	4	0.93957	0.93953	1	19315	0
Map10	4	0.0034615	0.012236	0.895352	257	4	0.99635	0.99632	1	20568	0
Mthfs	4	0.0035567	0.012554	0.895352	258	3	0.91502	0.91494	1	18790	0
Ceacam1	4	0.0035882	0.012652	0.895352	259	3	0.47215	0.47182	1	9588	0
Numb	4	0.0035882	0.012652	0.895352	260	3	0.86168	0.86141	1	17667	0
Tmem158	4	0.0035882	0.012652	0.895352	261	4	0.95612	0.956	1	19653	0
Nov	4	0.0035882	0.012652	0.895352	262	3	0.12622	0.14269	0.994909	2939	1
Pigx	4	0.0035882	0.012652	0.895352	263	2	0.43286	0.43251	1	8810	0
Tll2	4	0.0036405	0.012834	0.895352	264	3	0.49928	0.49882	1	10122	0
Zfp146	4	0.0036405	0.012834	0.895352	265	1	0.61318	0.61301	1	12492	0
Crip1	4	0.0036405	0.012834	0.895352	266	2	0.55591	0.55537	1	11271	0
Etnk1	4	0.0036426	0.012838	0.895352	267	3	0.69959	0.69943	1	14269	0
Zfp521	4	0.0036513	0.012865	0.895352	268	4	0.99635	0.99632	1	20566	0
Prrt2	4	0.0036513	0.012865	0.895352	269	4	0.99635	0.99632	1	20565	0
Sppl3	4	0.0036513	0.012865	0.895352	270	4	0.99635	0.99632	1	20567	0
Trim69	4	0.0037319	0.013141	0.895352	271	3	0.87945	0.87938	1	18021	0
Olfr1271	4	0.0037571	0.013229	0.895352	272	4	0.96385	0.96378	1	19833	0
Lipt2	4	0.0037571	0.013229	0.895352	273	3	0.22246	0.22629	1	4624	1
Rnf217	4	0.0038318	0.013478	0.895352	274	3	0.79566	0.79551	1	16262	0
Fam63b	4	0.0038318	0.013478	0.895352	275	3	0.64557	0.64549	1	13154	0
Cyp2a4	4	0.0038318	0.013478	0.895352	276	3	0.91872	0.91868	1	18864	0
Sox9	4	0.0038318	0.013478	0.895352	277	4	0.95439	0.95425	1	19625	0
4930563D23Rik	4	0.0038318	0.013478	0.895352	278	4	0.97814	0.97819	1	20143	0
Mrgprb8	4	0.0038318	0.013478	0.895352	279	3	0.93548	0.9354	1	19244	0
Slc45a2	4	0.0038318	0.013478	0.895352	280	3	0.92911	0.92914	1	19087	0
Tdgf1	4	0.0038318	0.013478	0.895352	281	4	0.98365	0.98357	1	20275	0
Cd84	4	0.0038318	0.013478	0.895352	282	4	0.94568	0.94555	1	19446	0
Sirt7	4	0.0038425	0.013516	0.895352	283	2	0.34229	0.34171	1	6970	0
Ttll10	4	0.0038425	0.013516	0.895352	284	3	0.55064	0.55011	1	11155	0
Galr2	4	0.0038425	0.013516	0.895352	285	2	0.56489	0.56442	1	11457	0
Olfr283	4	0.0038425	0.013516	0.895352	286	3	0.67446	0.67441	1	13732	0
Fam132a	4	0.0038853	0.013649	0.895352	287	4	0.99611	0.99608	1	20560	0
Crebl2	4	0.0038853	0.013649	0.895352	288	4	0.99611	0.99608	1	20558	0
Trpc1	4	0.0038853	0.013649	0.895352	289	4	0.99611	0.99608	1	20563	0
Acsm5	4	0.0038853	0.013649	0.895352	290	4	0.99611	0.99608	1	20557	0
Xpo7	4	0.0038853	0.013649	0.895352	291	4	0.99611	0.99608	1	20554	0
Zfp334	4	0.0038853	0.013649	0.895352	292	4	0.99611	0.99608	1	20555	0
Arap2	4	0.0038853	0.013649	0.895352	293	4	0.99611	0.99608	1	20556	0
Arg1	4	0.0038853	0.013649	0.895352	294	4	0.99611	0.99608	1	20561	0
Hes3	4	0.0038853	0.013649	0.895352	295	4	0.99611	0.99608	1	20559	0
Olfr693	4	0.0038853	0.013649	0.895352	296	4	0.99611	0.99608	1	20553	0
Fam135a	4	0.0038853	0.013649	0.895352	297	4	0.99611	0.99608	1	20562	0
Dnaaf2	4	0.0039128	0.01373	0.895352	298	3	0.92679	0.92686	1	19024	0
Aven	4	0.0039128	0.01373	0.895352	299	3	0.6452	0.64509	1	13144	0
Epha7	4	0.0039128	0.01373	0.895352	300	3	0.29096	0.29071	1	5957	1
