Signature ID,Percent Overlap (P905_L_p),adj p-val (P905_L_p),Overlap (P905_L_p),Score (P905_L_p)
KEGG_PANCREATIC_CANCER,27.1,0.121700461,ARHGEF6|NFKB1|BAD|ARAF|BRAF|RB1|RAF1|MAPK1|SMAD3|STAT3|STAT1|PIK3R5|E2F1|RELA|RALBP1|AKT2|IKBKB|IKBKG|TGFBR2,2.1340000629
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,32.1,0.5637893472,NCK1|NCL|PRKCA|ARHGEF2|YWHAZ|FYN|ABL1|TUBB|TUBA1C|ARPC1B|HCLS1|CTNNB1|TUBB1|WAS|TUBA4A|CTTN|NCK2|ARPC5L,-0.9406999946
KEGG_PATHWAYS_IN_CANCER,18.2,0.0625461363,SOS1|TPR|CBL|NFKB1|BAD|STK4|MAP2K2|ARAF|PRKCA|BRAF|JUN|HSP90AA1|CCDC6|STAT5A|RB1|MTOR|CBLB|PML|RAF1|TFG|ABL1|EP300|MAPK1|STAT5B|SMAD3|PIAS1|TRAF1|STAT3|CDKN1B|APC|STAT1|PIK3R5|E2F1|HSP90AB1|MLH1|CDKN1A|TRAF3|CCNE2|CTNNB1|MSH6|BCR|GSK3B|RELA|PRKCB|RALBP1|EGLN1|AXIN1|FOXO1|ARNT|CREBBP|HDAC1|AKT2|PTK2|IKBKB|RUNX1|RASSF1|IKBKG|TGFBR2|APPL1,2.8060998917
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,23.7,0.1984810604,INPP5D|ITPR3|PRKCA|PI4KB|PIK3C2A|ITPR1|INPPL1|PIKFYVE|SYNJ1|INPP4A|PI4KA|CDS2|ITPKB|PIK3R5|SYNJ2|PLCD3|PLCB3|PRKCB,1.8925000429
KEGG_PRIMARY_IMMUNODEFICIENCY,31.4,0.0154307337,CD8A|CD3E|CD3D|LCK|RFXAP|ZAP70|PTPRC|JAK3|RFX5|UNG|IKBKG,3.2465999126
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,27.1,0.0338107031,RPS6KA1|PDE3B|RPS6KA3|ARAF|BRAF|HSP90AA1|ANAPC1|CDC26|RAF1|MAPK1|PRKACA|CDK1|BUB1|PIK3R5|HSP90AB1|ANAPC2|AKT2|PKMYT1|ANAPC4|ANAPC5|CCNB2|MAPK14|CDC23,2.9742999077
KEGG_PROSTATE_CANCER,31.5,0.05117519,SOS1|NFKB1|BAD|MAP2K2|ARAF|BRAF|HSP90AA1|RB1|MTOR|RAF1|EP300|CREB1|MAPK1|CDKN1B|PIK3R5|E2F1|HSP90AB1|CDKN1A|CCNE2|CTNNB1|PDPK1|GSK3B|RELA|FOXO1|CREBBP|AKT2|IKBKB|IKBKG,2.8055999279
KEGG_PURINE_METABOLISM,9.4,0.015442623,PDE3B|POLA1|AMPD2|POLD3|NME1|PDE7A|RRM2|POLR2A|PAICS|PFAS|GMPS|POLA2|NME2|APRT|IMPDH2,3.451800108
KEGG_PYRIMIDINE_METABOLISM,13.3,0.2713188342,POLA1|POLD3|UCK1|NME1|RRM2|POLR2A|CAD|POLA2|NME2|DUT|UPP1|UMPS|CTPS1,1.6093000174
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,23.5,0.0031717172,SOS1|IQGAP1|ARHGAP35|PPP1R12A|IQGAP2|ARHGEF1|PXN|ARHGEF6|PAK2|WASF2|SLC9A1|MYL9|MAP2K2|ARAF|PAK4|ARHGEF7|BRAF|ARHGEF12|SSH1|PAK1|F2R|FGD3|PPP1CB|GIT1|RAF1|PPP1CA|DIAPH1|SSH2|PIKFYVE|MAPK1|ABI2|CFL1|MSN|APC|ITGAL|ARPC1B|PIK3R5|PFN1|MYH9|LIMK1|ITGA4|TIAM1|SSH3|BAIAP2|WAS|DIAPH3|PTK2|RRAS2|ACTN4|ARPC5L,8.0361003876
KEGG_RENAL_CELL_CARCINOMA,27.1,0.0031717172,SOS1|PAK2|MAP2K2|ARAF|PAK4|BRAF|JUN|PTPN11|PAK1|RAPGEF1|RAF1|EP300|MAPK1|FLCN|PIK3R5|EGLN1|ARNT|CREBBP|AKT2,5.6786999702
KEGG_RIBOSOME,26.1,0.4947287407,RPL24|RPS6|RPS17|RPS10|RPL18A|RPS4X|RPSA|RPS27|RPS13|RPL29|RPL30|RPS8|RPL17|RPS3|RPLP2|RPL4|RPL13|RPL18|RPLP0|RPS2|RPS28|RPL23A|RPL12,1.0480999947
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,23.9,0.3921794687,DDX3X|NFKB1|CYLD|MAVS|RIPK1|MAP3K7|IKBKE|TRAF3|MAP3K1|IFIH1|RELA|OTUD5|IKBKB|TANK|IKBKG|MAPK14|TRIM25,1.2457000017
KEGG_RNA_DEGRADATION,30.5,0.1907760287,PARN|EDC3|CNOT4|DCP1B|EXOSC9|EDC4|XRN2|EXOSC2|PAPOLA|HSPD1|DCP1A|ENO1|CNOT3|PAPOLG|PATL1|DCP2|CNOT2|XRN1,-1.9047000408
KEGG_SMALL_CELL_LUNG_CANCER,16.7,0.8741134504,NFKB1|RB1|PIAS1|TRAF1|CDKN1B|PIK3R5|E2F1|TRAF3|CCNE2|RELA|AKT2|PTK2|IKBKB|IKBKG,-0.3332999945
KEGG_SPLICEOSOME,37,0.028649635,ACIN1|WBP11|PRPF6|SART1|NCBP1|SF3B1|SF3B2|SRSF6|SRSF9|RBMX|HNRNPA1|TRA2B|CDC5L|TRA2A|THOC2|SNW1|SRSF1|RBM8A|PRPF40A|SF3B3|PRPF38B|HNRNPA1L2|HNRNPM|PCBP1|RBM17|DDX23|HNRNPC|CTNNBL1|SRSF7|SRSF3|SRSF4|EIF4A3|HNRNPA3|HNRNPK|SRSF10|SMNDC1|MAGOHB|USP39|U2SURP|RBM25|SLU7|PRPF40B|DHX8|SNRPA1|SNRNP70|THOC1|U2AF2,-3.1270999908
KEGG_TGF_BETA_SIGNALING_PATHWAY,14,0.0714854866,EP300|MAPK1|RBL1|RBL2|SMAD3|PPP2CB|RPS6KB1|CREBBP|SKP1|ACVR2A|TFDP1|TGFBR2,-2.6703000069
KEGG_TIGHT_JUNCTION,19.7,0.9658825732,PRKCQ|SYMPK|VAPA|MYL9|SPTAN1|PRKCA|EPB41L2|TJAP1|EPB41|PRKCD|PRKCH|CSNK2B|SRC|PPP2CB|TJP2|MYH9|HCLS1|PARD3|CTNNB1|MPDZ|PRKCB|EPB41L3|AKT2|RRAS2|CTTN|ACTN4,0.0634000003
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,21.6,0.0057901531,NFKB1|MAP2K2|JUN|MAP2K4|RIPK1|MAP3K7|IKBKE|MAPK1|TAB2|MAP2K7|MAP2K3|STAT1|PIK3R5|IRAK1|TRAF3|RELA|MAP3K8|AKT2|IKBKB|IFNAR2|IKBKG|MAPK14,4.0718998909
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,39.8,0.0031717172,GRAP2|PRKCQ|SOS1|CD247|CD8A|NCK1|CD3E|PAK2|CBL|NFATC3|NFATC2|CD3G|NFKB1|CD3D|LCK|MAP2K2|PAK4|LAT|JUN|CARD11|PAK1|CBLB|ZAP70|PTPRC|FYN|RAF1|MAP3K7|MAPK1|MAP2K7|PTPN6|PIK3R5|BCL10|PDPK1|GSK3B|RELA|MAP3K8|AKT2|IKBKB|NFATC1|LCP2|NCK2|IKBKG|MAPK14,7.5155000687
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,23,0.4693151586,CUL4A|CBL|UBE2J1|UBR5|UBE4B|ANAPC1|CDC26|CBLB|PML|BRCA1|HUWE1|PIAS1|TRIP12|UBA7|CUL4B|HERC1|CUL3|ANAPC2|UBE2O|STUB1|MAP3K1|HERC2|DDB2|SKP1|UBA1|WWP2|ANAPC4|ANAPC5|NEDD4L|CDC20|CDC23,-1.0598000288
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,19.1,0.0031717172,PRKCQ|PPP1R12A|ARHGEF1|ITPR3|MYL9|MAP2K2|ARAF|PRKCA|BRAF|ARHGEF12|ITPR1|PPP1CB|RAF1|PPP1CA|MAPK1|PRKACA|MYL6|PRKCD|PRKCH|PLCB3|PRKCB|ARHGEF11,7.0373997688
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,31.8,0.1163267085,DYNC1H1|DYNC1LI1|DYNC1LI2|DCTN4|STX4|NSF|CREB1|PRKACA|RAB11A|ARHGDIA|VAMP2|DCTN2|RAB5B|RAB5C,2.1561000347
KEGG_VEGF_SIGNALING_PATHWAY,23.7,0.015442623,PXN|NFATC3|NFATC2|HSPB1|BAD|MAP2K2|PRKCA|RAF1|MAPK1|SRC|PIK3R5|SH2D2A|SPHK2|PRKCB|AKT2|PTK2|NFATC1|MAPK14,3.7688999176
KEGG_VIRAL_MYOCARDITIS,14.3,0.8862988723,EIF4G1|DMD|FYN|ABL1|ITGAL|ABL2|MYH9|CAV1|EIF4G3|EIF4G2,0.2617000043
KEGG_WNT_SIGNALING_PATHWAY,17.2,0.0031717172,PPP2R5D|PPP2R5C|NFATC3|NFATC2|PRKCA|JUN|EP300|MAP3K7|CSNK1A1|CAMK2D|PRKACA|SMAD3|PSEN1|APC|CSNK2B|PPP2CB|CTNNB1|CHD8|PLCB3|GSK3B|PRKCB|CAMK2G|AXIN1|CREBBP|SKP1|NFATC1,3.2855000496
WP_10Q11_21Q11_23_COPY_NUMBER_VARIATION_SYNDROME,27.9,0.9929998182,RIF1|JUND|SF3B1|EIF4ENIF1|DEK|PARG|ATF2|MYO1C|SMARCC2|HSF1|ELK1|DDX21|BAZ1B|MYBBP1A|SIRT6|ERCC5|SIRT1,0.0147000002
WP_15Q11Q13_COPY_NUMBER_VARIATION,22,0.9052840533,SMC5|CANX|MTMR10|FANCI|FANCD2|SIN3A|TJP2|CDC42BPB|RELA|KAT2B|CREBBP|HDAC1|KLF13,0.2056999952
WP_16P11_2_PROXIMAL_DELETION_SYNDROME,23.7,0.0536071411,PPP2R5D|SPN|MVP|NR3C1|NFKB1|CORO1A|CCDC6|C16orf54|BPTF|MAP2K3|HIRIP3|PPP4R2|MSN|ALDOA|PPP2CB|PARP4|CCT8|KIF22,2.8247001171
WP_17Q12_COPY_NUMBER_VARIATION_SYNDROME,13,0.2291827997,LASP1|TAF15|ACACA|RFFL|SYNRG|IKZF3|CDK12|LIG3|MED1|MLLT6|AATF|FBXL20|CWC25,-1.746999979
WP_1P36_COPY_NUMBER_VARIATION_SYNDROME,15.8,0.0324074074,NADK|INTS10|SMAD3|CDK11A|TNFRSF4|NOC2L|MEPCE|CUL3|IFIH1|MCM2|CCNL2|INTS9|SKI|ELAVL1|TRIM25,-3.3534998894
WP_22Q11_2_COPY_NUMBER_VARIATION_SYNDROME,16.5,0.1000892516,NCOR1|PAK4|PPP1CB|RAF1|RANBP1|POLR2A|PI4KA|HIRIP3|CBX5|MED15|RTN4|CUL3|ZDHHC8|DGCR8|SHOC2|THAP7|DROSHA|DEPDC5|KLHL22|RCC1|SRF,-2.3620998859
WP_2Q37_COPY_NUMBER_VARIATION_SYNDROME,14.5,0.267913225,RPS6|MAP4|JUN|MYO5A|LRRFIP1|CXCR4|GYS1|HDAC4|HDLBP|CENPA|TRAF3|MEF2C|PPP1R7|PER2|MEF2A|MLPH|ING5|HJURP|DUSP28|RRAGC|SH3BP4,1.6615999937
WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME,20.3,0.015442623,PXN|PAK2|MYCBP2|NCBP1|JUN|STAT5A|UBXN7|CEP350|STAT5B|ADAM10|PCYT1A|NF2|SIRT1,3.1607000828
WP_4_HYDROXYTAMOXIFEN_DEXAMETHASONE_AND_RETINOIC_ACIDS_REGULATION_OF_P27_EXPRESSION,55.6,0.4077260185,MAP2K2|MTOR|RAF1|MAPK1|MAP2K3|EIF4EBP1|TSC1|MKNK1|MAP3K11|PBK,1.2814999819
