"Cohort","Cancer","Subtype","Survival","CTL Cor","T Dysfunction","Risk","Risk.adj","Count"
"Zhao2019_PD1","Glioblastoma","Pre","OS","-0.485","1.305","-0.756","-0.77","15"
"Zhao2019_PD1","Glioblastoma","Pre","PFS","-0.485","1.293","-0.891","-1.049","15"
"Zhao2019_PD1","Glioblastoma","Post","OS","-0.596","0.053","0.778","0.089","9"
"Zhao2019_PD1","Glioblastoma","Post","PFS","-0.596","-0.051","0.749","0.095","9"
"TCGA","Esophageal","","OS","-0.197","0.119","-0.734","-0.72","160"
"TCGA","Endometrial","","OS","-0.151","0.337","1.108","0.966","541"
"GSE14333","Colorectal","","DFS","-0.05","2.862","-0.482","-0.539","226"
"GSE71187","Colorectal","","OS","-0.178","1.141","-1.259","-1.512","52"
"GSE28722","Colorectal","","OS","-0.043","1.078","-0.709","-0.712","123"
"GSE87211","Colorectal","","OS","-0.015","0.687","-0.512","-0.52","196"
"TCGA","Colorectal","","OS","-0.106","0.597","-1.24","-1.227","597"
"GSE17536@PRECOG","Colorectal","","OS","0.012","0.519","0.698","0.765","177"
"GSE17537","Colorectal","","OS","-0.111","0.208","-1.089","-0.92","55"
"GSE38832","Colorectal","","OS","-0.099","0.051","-0.648","-0.685","122"
"GSE17536","Colorectal","","OS","-0.03","-0.218","1.729","1.758","177"
"GSE29621","Colorectal","","OS","-0.015","-0.47","0.873","0.993","65"
"GSE12945@PRECOG","Colorectal","","OS","0.018","-0.833","0.997","1.002","62"
"GSE39582","Colorectal","","OS","-0.075","-1.157","1.362","1.229","562"
"GSE12945","Colorectal","","OS","-0.045","-2.283","-0.307","-0.36","62"
"TCGA","Cervical","","OS","-0.183","1.64","0.98","0.189","296"
"METABRIC","Breast","LumB","OS","-0.046","1.891","2.013","1.912","363"
"METABRIC","Breast","Her2","OS","-0.073","1.426","0.783","0.337","163"
"GSE29174@PRECOG","Breast","","OS","0.051","1.197","-0.326","-0.329","96"
"GSE21653","Breast","LumA","DFS","-0.027","1.102","0.531","0.506","75"
"TCGA","Breast","Her2","OS","-0.174","1.089","0.055","0.051","56"
"METABRIC","Breast","","OS","0.013","0.894","2.488","2.463","1463"
"METABRIC","Breast","LumA","OS","-0.006","0.677","-0.312","-0.333","553"
"GSE10886@PRECOG","Breast","","OS","0.008","0.25","-0.077","-0.061","178"
"GSE24450@PRECOG","Breast","","OS","-0.221","-0.021","-0.38","-0.226","183"
"GSE9893@PRECOG","Breast","","OS","0.507","-0.09","-2.836","-1.907","148"
"TCGA","Breast","LumA","OS","-0.035","-0.091","1.68","1.684","220"
"GSE1456@PRECOG","Breast","","OS","-0.029","-0.183","1.595","1.604","159"
"GSE69031","Breast","","OS","0.205","-0.247","-0.747","-0.795","115"
"GSE3143@PRECOG","Breast","","OS","0.028","-0.322","1.964","1.959","158"
"GSE19783@PRECOG","Breast","","OS","0.042","-0.337","-0.009","0.015","112"
"GSE20486@PRECOG","Breast","","OS","-0.082","-0.413","1.01","1.143","97"
"GSE16446@PRECOG","Breast","","OS","-0.226","-0.432","1.027","0.647","107"
"TCGA","Breast","LumB","OS","-0.062","-0.449","1.618","1.618","120"
"GSE10885@PRECOG","Breast","","OS","0.005","-0.512","1.031","1.091","93"
"TCGA","Breast","","OS","-0.051","-0.519","1.599","1.53","922"
"GSE3494@PRECOG","Breast","","OS","-0.096","-0.702","0.744","0.734","251"
"GSE10885@PRECOG","Breast","","OS","-0.084","-0.805","1.91","1.903","52"
"GSE31519","Breast","TN","EFS","-0.071","-0.855","-0.174","-0.467","62"
"GSE21653","Breast","","DFS","0.064","-0.864","-0.599","-0.868","231"
"GSE58812","Breast","TN","OS","-0.124","-0.994","-0.053","-0.21","107"
"METABRIC","Breast","Basal","OS","-0.23","-1.046","0.025","-0.385","232"
"GSE7390@PRECOG","Breast","","OS","0.1","-1.072","-0.571","-0.501","198"
"GSE21653","Breast","TN","DFS","-0.018","-1.264","2.049","1.734","84"
"METABRIC","Breast","TN","OS","-0.215","-1.352","0.63","0.159","233"
"TCGA","Breast","Basal","OS","-0.125","-1.687","-0.565","-0.74","94"
"TCGA","Breast","TN","OS","-0.169","-1.887","0.372","0.252","156"
"GSE21653","Breast","Basal","DFS","-0.21","-2.041","1.539","0.925","74"
"TCGA","Brain","Glioblastoma","OS","-0.045","1.281","-0.758","-0.436","158"
"GSE4271@PRECOG","Brain","Astrocytoma","OS","-0.341","0.814","3.036","3.308","77"
"ca00037@PRECOG","Brain","Glioma","OS","-0.209","0.812","1.185","0.688","147"
"TCGA","Brain","Glioma","OS","-0.042","0.254","3.924","4.257","513"
"E-MTAB-179","Brain","Neuroblastoma","OS","-0.161","0.027","6.85","6.551","389"
"GSE4412@PRECOG","Brain","Astrocytoma","OS","-0.175","-0.186","-1.945","-1.725","85"
"GSE16011@PRECOG","Brain","Glioma","OS","-0.233","-0.263","0.562","0.907","263"
"GSE7696@PRECOG","Brain","Glioblastoma","OS","-0.403","-0.426","0.746","0.148","80"
"GSE16581@PRECOG","Brain","Meningioma","OS","-0.094","-0.529","-0.735","-0.759","67"
"GSE13041@PRECOG","Brain","Glioblastoma","OS","-0.156","-0.572","-0.337","-0.36","191"
"GSE1993@PRECOG","Brain","Glioblastoma,Astrocytoma","OS","-0.111","-1.144","2.559","2.667","60"
"Nutt_Glioma@PRECOG","Brain","Glioma","OS","-0.055","-1.718","1.807","1.958","50"
"Pomeroy_CNS@PRECOG","Brain","Medulloblastoma","OS","0.119","-1.928","0.899","0.891","60"
"Mariathasan2018_PDL1","Bladder","mUC","OS","-0.004","-0.063","-1.307","-1.278","348"
"GSE13507@PRECOG","Bladder","","OS","-0.035","-0.097","1.575","1.58","165"
"TCGA","Bladder","","OS","-0.017","-0.611","2.641","2.636","403"
"GSE31684","Bladder","","OS","0.068","-0.768","0.407","0.445","93"
